trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.9925063753153792}",25,0,-70.47980390756918,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.9923778954175008}",25,0,-116.1299285286299,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9922483276661413}",20,0,-217.87580272783583,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
120,False,"{'a': 0.5, 'e': 0.9921176722033344}",25,0,-72.40602714259465,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9919859291723053}",30,10,-17.454111754784243,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.9918530987174722}",20,0,-200.05182079549314,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
123,False,"{'a': 0.5, 'e': 0.9917191809844449}",20,0,-210.97847212521023,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
124,False,"{'a': 0.5, 'e': 0.9915841761200251}",20,0,-49.57691840968792,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9914480842722068}",20,0,-199.20969524513845,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.9913109055901745}",20,0,-60.32087502429572,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9911726402243051}",25,0,-154.77718362388427,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9910332883261661}",20,0,-112.8290213815382,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.9908928500485165}",20,0,-44.1262884194114,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9907513255453056}",20,0,-57.13436061633902,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.9906087149716744}",25,0,-44.9612847352999,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9904650184839534}",35,0,-97.23806974670839,"{0: 25, 1: 3, 2: 3, 3: 4, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.9903202362396643}",25,0,-60.67806237320852,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9901743683975183}",20,0,-129.73596710300788,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
135,False,"{'a': 0.5, 'e': 0.9900274151174173}",30,0,-107.05371471748965,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9898793765604529}",20,0,-57.88676739474086,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.989730252888906}",25,8,-26.881788467946507,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.9895800442662475}",20,0,-95.65302948648339,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.9894287508571372}",20,0,-50.61493323546306,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9892763728274245}",20,10,-47.492905481816074,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.9891229103441476}",20,0,-97.87562324869839,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9889683635755332}",30,0,-159.15057513661512,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.988812732690997}",35,0,-175.67776793219673,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.988656017861143}",20,0,-115.52204083292786,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9884982192577633}",25,0,-136.22426505991888,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.988339337053838}",25,14,-77.36574327738505,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.9881793714235355}",25,0,-153.5474100232421,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9880183225422113}",20,0,-77.16985050974819,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9878561905864087}",20,0,-149.08439321140372,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
